A08.186.211.464.710.225.Entorhinal.Cortex	A08.186.211.464.710.225	Entorhinal Cortex	Nervous System	Central Nervous System
A08.186.211.653.Mesencephalon	A08.186.211.653	Mesencephalon	Nervous System	Central Nervous System
A08.186.211.730.Prosencephalon	A08.186.211.730	Prosencephalon	Nervous System	Central Nervous System
A08.186.211.730.317.Diencephalon	A08.186.211.730.317	Diencephalon	Nervous System	Central Nervous System
A08.186.211.730.317.357.Hypothalamus	A08.186.211.730.317.357	Hypothalamus	Nervous System	Central Nervous System
A08.186.211.730.317.357.352.Hypothalamus..Middle	A08.186.211.730.317.357.352	Hypothalamus  Middle	Nervous System	Central Nervous System
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	A08.186.211.730.317.357.352.435	Hypothalamo Hypophyseal System	Nervous System	Central Nervous System
A08.186.211.730.885.Telencephalon	A08.186.211.730.885	Telencephalon	Nervous System	Central Nervous System
A08.186.211.730.885.287.Cerebrum	A08.186.211.730.885.287	Cerebrum	Nervous System	Central Nervous System
A08.186.211.730.885.287.249.Basal.Ganglia	A08.186.211.730.885.287.249	Basal Ganglia	Nervous System	Central Nervous System
A08.186.211.730.885.287.249.487.Corpus.Striatum	A08.186.211.730.885.287.249.487	Corpus Striatum	Nervous System	Central Nervous System
A08.186.211.730.885.287.500.Cerebral.Cortex	A08.186.211.730.885.287.500	Cerebral Cortex	Nervous System	Central Nervous System
A08.186.211.730.885.287.500.270.Frontal.Lobe	A08.186.211.730.885.287.500.270	Frontal Lobe	Nervous System	Central Nervous System
A08.186.211.730.885.287.500.571.Occipital.Lobe	A08.186.211.730.885.287.500.571	Occipital Lobe	Nervous System	Central Nervous System
A08.186.211.730.885.287.500.571.735.Visual.Cortex	A08.186.211.730.885.287.500.571.735	Visual Cortex	Nervous System	Central Nervous System
A08.186.211.730.885.287.500.670.Parietal.Lobe	A08.186.211.730.885.287.500.670	Parietal Lobe	Nervous System	Central Nervous System
A08.186.211.730.885.287.500.863.Temporal.Lobe	A08.186.211.730.885.287.500.863	Temporal Lobe	Nervous System	Central Nervous System
A08.186.211.865.Rhombencephalon	A08.186.211.865	Rhombencephalon	Nervous System	Central Nervous System
A08.186.211.865.428.Metencephalon	A08.186.211.865.428	Metencephalon	Nervous System	Central Nervous System
A08.713.Neurosecretory.Systems	A08.713	Neurosecretory Systems	Nervous System	Neurosecretory Systems
A09.371.Eye	A09.371	Eye	Sense Organs	Eye
A09.371.060.Anterior.Eye.Segment	A09.371.060	Anterior Eye Segment	Sense Organs	Eye
A09.371.337.Eyelids	A09.371.337	Eyelids	Sense Organs	Eye
A09.371.337.168.Conjunctiva	A09.371.337.168	Conjunctiva	Sense Organs	Eye
A09.371.729.Retina	A09.371.729	Retina	Sense Organs	Eye
A09.531.Nose	A09.531	Nose	Sense Organs	Nose
A10.165.Connective.Tissue	A10.165	Connective Tissue	Tissues	Connective Tissue
A10.165.114.Adipose.Tissue	A10.165.114	Adipose Tissue	Tissues	Connective Tissue
A10.165.114.830.Adipose.Tissue..White	A10.165.114.830	Adipose Tissue  White	Tissues	Connective Tissue
A10.165.114.830.500.Abdominal.Fat	A10.165.114.830.500	Abdominal Fat	Tissues	Connective Tissue
A10.165.114.830.500.750.Subcutaneous.Fat..Abdominal	A10.165.114.830.500.750	Subcutaneous Fat  Abdominal	Tissues	Connective Tissue
A10.165.114.830.750.Subcutaneous.Fat	A10.165.114.830.750	Subcutaneous Fat	Tissues	Connective Tissue
A10.165.450.Granulation.Tissue	A10.165.450	Granulation Tissue	Tissues	Connective Tissue
A10.165.450.300.Cicatrix	A10.165.450.300	Cicatrix	Tissues	Connective Tissue
A10.165.450.300.425.Keloid	A10.165.450.300.425	Keloid	Tissues	Connective Tissue
A10.272.Epithelium	A10.272	Epithelium	Tissues	Epithelium
A10.272.497.Epidermis	A10.272.497	Epidermis	Tissues	Epithelium
A10.336.Exocrine.Glands	A10.336	Exocrine Glands	Tissues	Exocrine Glands
A10.336.707.Prostate	A10.336.707	Prostate	Tissues	Exocrine Glands
A10.549.Lymphoid.Tissue	A10.549	Lymphoid Tissue	Tissues	Lymphoid Tissue
A10.549.400.Lymph.Nodes	A10.549.400	Lymph Nodes	Tissues	Lymphoid Tissue
A10.615.Membranes	A10.615	Membranes	Tissues	Membranes
A10.615.284.Extraembryonic.Membranes	A10.615.284	Extraembryonic Membranes	Tissues	Membranes
A10.615.284.473.Chorion	A10.615.284.473	Chorion	Tissues	Membranes
A10.615.550.Mucous.Membrane	A10.615.550	Mucous Membrane	Tissues	Membranes
A10.615.550.599.Mouth.Mucosa	A10.615.550.599	Mouth Mucosa	Tissues	Membranes
A10.615.550.760.Respiratory.Mucosa	A10.615.550.760	Respiratory Mucosa	Tissues	Membranes
A10.615.789.Serous.Membrane	A10.615.789	Serous Membrane	Tissues	Membranes
A10.690.Muscles	A10.690	Muscles	Tissues	Muscles
A10.690.467.Muscle..Smooth	A10.690.467	Muscle  Smooth	Tissues	Muscles
A10.690.552.Muscle..Striated	A10.690.552	Muscle  Striated	Tissues	Muscles
A10.690.552.500.Muscle..Skeletal	A10.690.552.500	Muscle  Skeletal	Tissues	Muscles
A11.063.Antibody.Producing.Cells	A11.063	Antibody Producing Cells	Cells	Antibody-Producing Cells
A11.066.Antigen.Presenting.Cells	A11.066	Antigen Presenting Cells	Cells	Antigen-Presenting Cells
A11.118.637.Leukocytes	A11.118.637	Leukocytes	Cells	Blood Cells
A11.118.637.415.Granulocytes	A11.118.637.415	Granulocytes	Cells	Blood Cells
A11.118.637.555.567.562.B.Lymphocytes	A11.118.637.555.567.562	B Lymphocytes	Cells	Blood Cells
A11.118.637.555.567.562.440.Precursor.Cells..B.Lymphoid	A11.118.637.555.567.562.440	Precursor Cells  B Lymphoid	Cells	Blood Cells
A11.118.637.555.567.569.T.Lymphocytes	A11.118.637.555.567.569	T Lymphocytes	Cells	Blood Cells
A11.118.637.555.567.569.200.700.T.Lymphocytes..Regulatory	A11.118.637.555.567.569.200.700	T Lymphocytes  Regulatory	Cells	Blood Cells
A11.329.Connective.Tissue.Cells	A11.329	Connective Tissue Cells	Cells	Connective Tissue Cells
A11.329.114.Adipocytes	A11.329.114	Adipocytes	Cells	Connective Tissue Cells
A11.329.171.Chondrocytes	A11.329.171	Chondrocytes	Cells	Connective Tissue Cells
A11.329.228.Fibroblasts	A11.329.228	Fibroblasts	Cells	Connective Tissue Cells
A11.329.372.600.Macrophages..Alveolar	A11.329.372.600	Macrophages  Alveolar	Cells	Connective Tissue Cells
A11.329.629.Osteoblasts	A11.329.629	Osteoblasts	Cells	Connective Tissue Cells
A11.329.830.Stromal.Cells	A11.329.830	Stromal Cells	Cells	Connective Tissue Cells
A11.382.Endocrine.Cells	A11.382	Endocrine Cells	Cells	Endocrine Cells
A11.382.625.Enteroendocrine.Cells	A11.382.625	Enteroendocrine Cells	Cells	Endocrine Cells
A11.436.Epithelial.Cells	A11.436	Epithelial Cells	Cells	Epithelial Cells
A11.436.275.Endothelial.Cells	A11.436.275	Endothelial Cells	Cells	Epithelial Cells
A11.436.294.064.Glucagon.Secreting.Cells	A11.436.294.064	Glucagon Secreting Cells	Cells	Epithelial Cells
A11.436.329.Granulosa.Cells	A11.436.329	Granulosa Cells	Cells	Epithelial Cells
A11.436.348.Hepatocytes	A11.436.348	Hepatocytes	Cells	Epithelial Cells
A11.436.397.Keratinocytes	A11.436.397	Keratinocytes	Cells	Epithelial Cells
A11.443.Erythroid.Cells	A11.443	Erythroid Cells	Cells	Erythroid Cells
A11.497.497.600.Oocytes	A11.497.497.600	Oocytes	Cells	Germ Cells
A11.620.Muscle.Cells	A11.620	Muscle Cells	Cells	Muscle Cells
A11.620.520.Myocytes..Smooth.Muscle	A11.620.520	Myocytes  Smooth Muscle	Cells	Muscle Cells
A11.627.Myeloid.Cells	A11.627	Myeloid Cells	Cells	Myeloid Cells
A11.627.340.360.Granulocyte.Precursor.Cells	A11.627.340.360	Granulocyte Precursor Cells	Cells	Myeloid Cells
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	A11.627.624.249	Monocyte Macrophage Precursor Cells	Cells	Myeloid Cells
A11.627.635.Myeloid.Progenitor.Cells	A11.627.635	Myeloid Progenitor Cells	Cells	Myeloid Cells
A11.872.Stem.Cells	A11.872	Stem Cells	Cells	Stem Cells
A11.872.040.Adult.Stem.Cells	A11.872.040	Adult Stem Cells	Cells	Stem Cells
A11.872.190.Embryonic.Stem.Cells	A11.872.190	Embryonic Stem Cells	Cells	Stem Cells
A11.872.190.260.Embryoid.Bodies	A11.872.190.260	Embryoid Bodies	Cells	Stem Cells
A11.872.378.Hematopoietic.Stem.Cells	A11.872.378	Hematopoietic Stem Cells	Cells	Stem Cells
A11.872.378.294.Lymphoid.Progenitor.Cells	A11.872.378.294	Lymphoid Progenitor Cells	Cells	Stem Cells
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	A11.872.378.590.635	Granulocyte Macrophage Progenitor Cells	Cells	Stem Cells
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	A11.872.378.590.817	Megakaryocyte Erythroid Progenitor Cells	Cells	Stem Cells
A11.872.580.Mesenchymal.Stem.Cells	A11.872.580	Mesenchymal Stem Cells	Cells	Stem Cells
A11.872.653.Neural.Stem.Cells	A11.872.653	Neural Stem Cells	Cells	Stem Cells
A11.872.700.Pluripotent.Stem.Cells	A11.872.700	Pluripotent Stem Cells	Cells	Stem Cells
A11.872.700.500.Induced.Pluripotent.Stem.Cells	A11.872.700.500	Induced Pluripotent Stem Cells	Cells	Stem Cells
A14.549.Mouth	A14.549	Mouth	Stomatognathic System	Mouth
A14.549.167.Dentition	A14.549.167	Dentition	Stomatognathic System	Mouth
A14.549.167.646.Periodontium	A14.549.167.646	Periodontium	Stomatognathic System	Mouth
A14.549.885.Tongue	A14.549.885	Tongue	Stomatognathic System	Mouth
A14.724.Pharynx	A14.724	Pharynx	Stomatognathic System	Pharynx
A14.724.557.Nasopharynx	A14.724.557	Nasopharynx	Stomatognathic System	Pharynx
A15.145.Blood	A15.145	Blood	Hemic and Immune Systems	Blood
A15.145.229.Blood.Cells	A15.145.229	Blood Cells	Hemic and Immune Systems	Blood
A15.145.229.188.Blood.Platelets	A15.145.229.188	Blood Platelets	Hemic and Immune Systems	Blood
A15.145.229.334.Erythrocytes	A15.145.229.334	Erythrocytes	Hemic and Immune Systems	Blood
A15.145.229.637.555.Leukocytes..Mononuclear	A15.145.229.637.555	Leukocytes  Mononuclear	Hemic and Immune Systems	Blood
A15.145.229.637.555.567.562.725.Plasma.Cells	A15.145.229.637.555.567.562.725	Plasma Cells	Hemic and Immune Systems	Blood
A15.145.229.637.555.567.569.200.CD4.Positive.T.Lymphocytes	A15.145.229.637.555.567.569.200	CD4 Positive T Lymphocytes	Hemic and Immune Systems	Blood
A15.145.300.Fetal.Blood	A15.145.300	Fetal Blood	Hemic and Immune Systems	Blood
A15.145.693.Plasma	A15.145.693	Plasma	Hemic and Immune Systems	Blood
A15.145.846.Serum	A15.145.846	Serum	Hemic and Immune Systems	Blood
A15.378.Hematopoietic.System	A15.378	Hematopoietic System	Hemic and Immune Systems	Hematopoietic System
A15.378.316.Bone.Marrow.Cells	A15.378.316	Bone Marrow Cells	Hemic and Immune Systems	Hematopoietic System
A15.378.316.378.590.837.250.Erythroid.Precursor.Cells	A15.378.316.378.590.837.250	Erythroid Precursor Cells	Hemic and Immune Systems	Hematopoietic System
A15.378.316.580.Monocytes	A15.378.316.580	Monocytes	Hemic and Immune Systems	Hematopoietic System
A15.382.Immune.System	A15.382	Immune System	Hemic and Immune Systems	Immune System
A15.382.216.Bone.Marrow	A15.382.216	Bone Marrow	Hemic and Immune Systems	Immune System
A15.382.490.315.583.Neutrophils	A15.382.490.315.583	Neutrophils	Hemic and Immune Systems	Immune System
A15.382.490.555.567.Lymphocytes	A15.382.490.555.567	Lymphocytes	Hemic and Immune Systems	Immune System
A15.382.490.555.567.537.Killer.Cells..Natural	A15.382.490.555.567.537	Killer Cells  Natural	Hemic and Immune Systems	Immune System
A15.382.490.555.567.622.Lymphocytes..Null	A15.382.490.555.567.622	Lymphocytes  Null	Hemic and Immune Systems	Immune System
A15.382.520.Lymphatic.System	A15.382.520	Lymphatic System	Hemic and Immune Systems	Immune System
A15.382.520.604.700.Spleen	A15.382.520.604.700	Spleen	Hemic and Immune Systems	Immune System
A15.382.520.604.800.Palatine.Tonsil	A15.382.520.604.800	Palatine Tonsil	Hemic and Immune Systems	Immune System
A15.382.680.Phagocytes	A15.382.680	Phagocytes	Hemic and Immune Systems	Immune System
A15.382.812.Mononuclear.Phagocyte.System	A15.382.812	Mononuclear Phagocyte System	Hemic and Immune Systems	Immune System
A15.382.812.260.Dendritic.Cells	A15.382.812.260	Dendritic Cells	Hemic and Immune Systems	Immune System
A15.382.812.522.Macrophages	A15.382.812.522	Macrophages	Hemic and Immune Systems	Immune System
A17.815.Skin	A17.815	Skin	Integumentary System	Skin
